correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
Belgio;20;;;;"In che nazione si trova Waterloo, sede della famosa battaglia?";;;"Francia|Paesi Bassi|Germania|Inghilterra|"
1815;50;;;;"In che anno avvenne la famosa battaglia di Waterloo?";;;1805|1789|1820|1809
"<img src=""http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/200px-Flag_of_France.svg.png"" width=""32"" alt=""Francia""> Napoleonico contro una coalizione guidata dagli <img src=""http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_the_United_Kingdom_%281801%29.png"" width=""32"" alt=""Inghilterra Bandiera (1801)""> inglesi e <img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_the_Kingdom_of_Prussia_%281803-1892%29.svg/320px-Flag_of_the_Kingdom_of_Prussia_%281803-1892%29.svg.png"" width=""32"" alt=""Regno Prussia Bandiera""> Prussiani";20;;;;"Quali eserciti si scontrarano nella battaglia di Waterloo?";options;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_the_United_Kingdom_%281801%29.png"" width=""32"" alt=""Inghilterra Bandiera (1801)""> Inglese contro una coalizione guidata da <img src=""http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/200px-Flag_of_France.svg.png"" width=""32"" alt=""Francia""> Napoleone e <img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_the_Kingdom_of_Prussia_%281803-1892%29.svg/320px-Flag_of_the_Kingdom_of_Prussia_%281803-1892%29.svg.png"" width=""32"" alt=""Regno Prussia Bandiera""> prussiani|<img src=""http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_the_United_Kingdom_%281801%29.png"" width=""32"" alt=""Inghilterra Bandiera (1801)""> Inglese contro una colazione guidata da <img src=""http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/200px-Flag_of_France.svg.png"" width=""32"" alt=""Francia""> Napoleone e <img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/320px-Flag_of_Russia.svg.png"" width=""32"" alt=""Russia""> russi|<img src=""http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/200px-Flag_of_France.svg.png"" width=""32"" alt=""Francia""> Napoleonico contro una coalizione guidata dai <img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/320px-Flag_of_Russia.svg.png"" width=""32"" alt=""Russia""> russi e <img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_the_Kingdom_of_Prussia_%281803-1892%29.svg/320px-Flag_of_the_Kingdom_of_Prussia_%281803-1892%29.svg.png"" width=""32"" alt=""Regno Prussia Bandiera""> prussiani|<img src=""http://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/200px-Flag_of_France.svg.png"" width=""32"" alt=""Francia""> Napoleonico contro una coalizione guidata dagli <img src=""http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_the_United_Kingdom_%281801%29.png"" width=""32"" alt=""Inghilterra Bandiera (1801)""> inglesi e <img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_the_Habsburg_Monarchy.svg/320px-Flag_of_the_Habsburg_Monarchy.svg.png"" width=""32"" alt=""Monarchia Asburgica (1804-1867)""> austriaci"
"Una coalizione guidata da Sparta contro una coalizione guidata da Atene";20;;;;"La guerra del Peloponneso da chi fu combattuta?";options;;"Una coalizione guidata congiuntamente da Atene e Sparta contro l'impero Persiano|Una coalizione guidata da Atene contro l'impero Persiano|Una coalizione guidata da Sparta contro l'impero Persiano|L’armata di Filippo di Macedonia contro una colazione guidata da Sparta"
"Tra il 431 a.C e il 404 a.C. ";30;;;;"Quando fu combattura la guerra del Peloponneso";;;"Tra il 911 a.C e il 901 a.C. |Tra il 148 a.C e il 131 a.C. |Tra il 732 a.C e il 704 a.C. |Tra il 102 d.C e il 108 d.C. "
1789;20;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Anonymous_-_Prise_de_la_Bastille.jpg/607px-Anonymous_-_Prise_de_la_Bastille.jpg"" width=""400"" alt=""Rivoluzione Francese""> <br>In che anno avvenne la Rivoluzione francese?";;;1805|1815|1820|1809
Volga;20;;;;"Quale è il fiume più lungio d'Europa?";;;Danubio|Ural|Don|Purus
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/LuigiPirandello2.jpg/209px-LuigiPirandello2.jpg"" width=""128"" alt=""Luigi Pirandello""> Luigi Pirandello";20;;;;"Chi ha scritto il romanzo “Uno nessuno e centomila”";;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/b/b2/Gabriele_D%27Annunzio.jpg"" width=""128"" alt=""Gabriele D'annunzio""> Gabriele D'annunzio|<img src=""http://upload.wikimedia.org/wikipedia/it/4/4c/Umberto_Saba.jpg"" width=""128"" alt=""Umberto Saba""> Umberto Saba|<img src=""http://upload.wikimedia.org/wikipedia/commons/7/70/Giovanni-Verga.jpg"" width=""128"" alt=""Giovanni Verga""> Giovanni Verga|<img src=""http://upload.wikimedia.org/wikipedia/commons/7/74/Salvatore_Quasimodo_1959.jpg"" width=""128"" alt=""Salvatore Quasimodo""> Salvatore Quasimodo"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/a/ae/Lucio_Fontana_by_Lothar_Wolleh.jpg"" width=""128"" alt=""Lucio Fontana""> Lucio Fontana|Fontana";30;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Spatial_Concept_%27Waiting%27%2C_cut_canvas_by_Lucio_Fontana%2C_Tate_Modern.JPG/575px-Spatial_Concept_%27Waiting%27%2C_cut_canvas_by_Lucio_Fontana%2C_Tate_Modern.JPG?uselang=it"" width=""400"" alt=""Spatial Concept""> <br>Il quadro in figura da chi è stato realizzato";;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Portrait_of_Joan_Miro%2C_Barcelona_1935_June_13.jpg/188px-Portrait_of_Joan_Miro%2C_Barcelona_1935_June_13.jpg"" width=""128"" alt=""Joan Miró""> joan miró|<img src=""http://upload.wikimedia.org/wikipedia/commons/3/32/Rene_Magritte_by_Wolleh.jpg"" width=""128"" alt=""René Magritte""> rené magritte|<img src=""http://upload.wikimedia.org/wikipedia/commons/8/8a/Vassily-Kandinsky.jpeg"" width=""128"" alt=""Kandinsky""> vasilij vasil'evič kandinskij|<img src=""http://upload.wikimedia.org/wikipedia/commons/e/e3/Pablo_picasso.jpg"" width=""128"" alt=""Pablo Picasso""> pablo picasso"
"A 61 anni uccisa da un anarchico Italiano";20;;;;"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Erzsebet_kiralyne_photo_Rabending.jpg/601px-Erzsebet_kiralyne_photo_Rabending.jpg"" width=""400"" alt=""Elisabetta di Baviera""> <br>Come è morta Elisabetta di Baviera?";options;;"A 92 anni di vecchiaia|A 42 anni per causa di una polmonite non curata|A 36 anni di parto|A 48 anni a causa una rivolta popolare in Ungheria"
